study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJEB32566	SAMEA5770237	ERS3573781	ERX3552862	ERR3545996	9606	Homo sapiens	unspecified	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR354/006/ERR3545996/ERR3545996.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR354/006/ERR3545996/ERR3545996.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3545996/R81.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3545996/R81.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3545996/R81.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3545996/R81.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR354/006/ERR3545996	ftp.sra.ebi.ac.uk/vol1/err/ERR354/006/ERR3545996		
PRJEB32566	SAMEA5770279	ERS3573823	ERX3552863	ERR3545997	9606	Homo sapiens	unspecified	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR354/007/ERR3545997/ERR3545997.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR354/007/ERR3545997/ERR3545997.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3545997/R36.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3545997/R36.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3545997/R36.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3545997/R36.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR354/007/ERR3545997	ftp.sra.ebi.ac.uk/vol1/err/ERR354/007/ERR3545997		
PRJEB32566	SAMEA5770289	ERS3573833	ERX3552864	ERR3545998	9606	Homo sapiens	unspecified	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR354/008/ERR3545998/ERR3545998.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR354/008/ERR3545998/ERR3545998.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3545998/R34.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3545998/R34.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3545998/R34.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3545998/R34.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR354/008/ERR3545998	ftp.sra.ebi.ac.uk/vol1/err/ERR354/008/ERR3545998		
PRJEB32566	SAMEA5770263	ERS3573807	ERX3552865	ERR3545999	9606	Homo sapiens	unspecified	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR354/009/ERR3545999/ERR3545999.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR354/009/ERR3545999/ERR3545999.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3545999/R41.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3545999/R41.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3545999/R41.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3545999/R41.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR354/009/ERR3545999	ftp.sra.ebi.ac.uk/vol1/err/ERR354/009/ERR3545999		
PRJEB32566	SAMEA5770236	ERS3573780	ERX3552866	ERR3546000	9606	Homo sapiens	unspecified	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR354/000/ERR3546000/ERR3546000.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR354/000/ERR3546000/ERR3546000.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3546000/R78.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3546000/R78.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3546000/R78.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3546000/R78.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR354/000/ERR3546000	ftp.sra.ebi.ac.uk/vol1/err/ERR354/000/ERR3546000		
PRJEB32566	SAMEA5770206	ERS3573750	ERX3552867	ERR3546001	9606	Homo sapiens	unspecified	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR354/001/ERR3546001/ERR3546001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR354/001/ERR3546001/ERR3546001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3546001/R5.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3546001/R5.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3546001/R5.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3546001/R5.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR354/001/ERR3546001	ftp.sra.ebi.ac.uk/vol1/err/ERR354/001/ERR3546001		
PRJEB32566	SAMEA5770248	ERS3573792	ERX3552868	ERR3546002	9606	Homo sapiens	unspecified	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR354/002/ERR3546002/ERR3546002.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR354/002/ERR3546002/ERR3546002.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3546002/R68.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3546002/R68.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3546002/R68.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3546002/R68.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR354/002/ERR3546002	ftp.sra.ebi.ac.uk/vol1/err/ERR354/002/ERR3546002		
PRJEB32566	SAMEA5770323	ERS3573867	ERX3552869	ERR3546003	9606	Homo sapiens	unspecified	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR354/003/ERR3546003/ERR3546003.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR354/003/ERR3546003/ERR3546003.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3546003/R969.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3546003/R969.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3546003/R969.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3546003/R969.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR354/003/ERR3546003	ftp.sra.ebi.ac.uk/vol1/err/ERR354/003/ERR3546003		
PRJEB32566	SAMEA5770213	ERS3573757	ERX3552870	ERR3546004	9606	Homo sapiens	unspecified	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR354/004/ERR3546004/ERR3546004.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR354/004/ERR3546004/ERR3546004.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3546004/R1.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3546004/R1.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3546004/R1.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3546004/R1.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR354/004/ERR3546004	ftp.sra.ebi.ac.uk/vol1/err/ERR354/004/ERR3546004		
PRJEB32566	SAMEA5770192	ERS3573736	ERX3552871	ERR3546005	9606	Homo sapiens	unspecified	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR354/005/ERR3546005/ERR3546005.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR354/005/ERR3546005/ERR3546005.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3546005/R15.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3546005/R15.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3546005/R15.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3546005/R15.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR354/005/ERR3546005	ftp.sra.ebi.ac.uk/vol1/err/ERR354/005/ERR3546005		
PRJEB32566	SAMEA5770194	ERS3573738	ERX3552872	ERR3546006	9606	Homo sapiens	unspecified	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR354/006/ERR3546006/ERR3546006.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR354/006/ERR3546006/ERR3546006.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3546006/R3.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3546006/R3.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3546006/R3.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3546006/R3.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR354/006/ERR3546006	ftp.sra.ebi.ac.uk/vol1/err/ERR354/006/ERR3546006		
PRJEB32566	SAMEA5770224	ERS3573768	ERX3552873	ERR3546007	9606	Homo sapiens	unspecified	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR354/007/ERR3546007/ERR3546007.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR354/007/ERR3546007/ERR3546007.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3546007/R42.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3546007/R42.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3546007/R42.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3546007/R42.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR354/007/ERR3546007	ftp.sra.ebi.ac.uk/vol1/err/ERR354/007/ERR3546007		
PRJEB32566	SAMEA5770311	ERS3573855	ERX3552874	ERR3546008	9606	Homo sapiens	unspecified	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR354/008/ERR3546008/ERR3546008.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR354/008/ERR3546008/ERR3546008.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3546008/R61.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3546008/R61.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3546008/R61.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3546008/R61.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR354/008/ERR3546008	ftp.sra.ebi.ac.uk/vol1/err/ERR354/008/ERR3546008		
PRJEB32566	SAMEA5770204	ERS3573748	ERX3552875	ERR3546009	9606	Homo sapiens	unspecified	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR354/009/ERR3546009/ERR3546009.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR354/009/ERR3546009/ERR3546009.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3546009/R1014.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3546009/R1014.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3546009/R1014.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3546009/R1014.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR354/009/ERR3546009	ftp.sra.ebi.ac.uk/vol1/err/ERR354/009/ERR3546009		
PRJEB32566	SAMEA5770196	ERS3573740	ERX3556824	ERR3550219	9606	Homo sapiens	unspecified	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR355/009/ERR3550219/ERR3550219.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR355/009/ERR3550219/ERR3550219.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR355/ERR3550219/R10.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR355/ERR3550219/R10.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR355/ERR3550219/R10.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR355/ERR3550219/R10.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR355/009/ERR3550219	ftp.sra.ebi.ac.uk/vol1/err/ERR355/009/ERR3550219		
PRJEB32566	SAMEA5770228	ERS3573772	ERX3556825	ERR3550220	9606	Homo sapiens	unspecified	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR355/000/ERR3550220/ERR3550220.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR355/000/ERR3550220/ERR3550220.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR355/ERR3550220/R111.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR355/ERR3550220/R111.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR355/ERR3550220/R111.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR355/ERR3550220/R111.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR355/000/ERR3550220	ftp.sra.ebi.ac.uk/vol1/err/ERR355/000/ERR3550220		
PRJEB32566	SAMEA5770229	ERS3573773	ERX3556826	ERR3550221	9606	Homo sapiens	unspecified	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR355/001/ERR3550221/ERR3550221.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR355/001/ERR3550221/ERR3550221.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR355/ERR3550221/R113.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR355/ERR3550221/R113.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR355/ERR3550221/R113.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR355/ERR3550221/R113.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR355/001/ERR3550221	ftp.sra.ebi.ac.uk/vol1/err/ERR355/001/ERR3550221		
PRJEB32566	SAMEA5770282	ERS3573826	ERX3556829	ERR3550224	9606	Homo sapiens	unspecified	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR355/004/ERR3550224/ERR3550224.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR355/004/ERR3550224/ERR3550224.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR355/ERR3550224/R107.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR355/ERR3550224/R107.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR355/ERR3550224/R107.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR355/ERR3550224/R107.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR355/004/ERR3550224	ftp.sra.ebi.ac.uk/vol1/err/ERR355/004/ERR3550224		
PRJEB32566	SAMEA5770295	ERS3573839	ERX3556846	ERR3550241	9606	Homo sapiens	unspecified	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR355/001/ERR3550241/ERR3550241.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR355/001/ERR3550241/ERR3550241.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR355/ERR3550241/R104.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR355/ERR3550241/R104.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR355/ERR3550241/R104.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR355/ERR3550241/R104.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR355/001/ERR3550241	ftp.sra.ebi.ac.uk/vol1/err/ERR355/001/ERR3550241		
PRJEB32566	SAMEA5770241	ERS3573785	ERX3557284	ERR3550679	9606	Homo sapiens	unspecified	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR355/009/ERR3550679/ERR3550679.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR355/009/ERR3550679/ERR3550679.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR355/ERR3550679/R1547.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR355/ERR3550679/R1547.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR355/ERR3550679/R1547.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR355/ERR3550679/R1547.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR355/009/ERR3550679	ftp.sra.ebi.ac.uk/vol1/err/ERR355/009/ERR3550679		
PRJEB32566	SAMEA5770198	ERS3573742	ERX3557287	ERR3550682	9606	Homo sapiens	unspecified	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR355/002/ERR3550682/ERR3550682.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR355/002/ERR3550682/ERR3550682.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR355/ERR3550682/R18.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR355/ERR3550682/R18.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR355/ERR3550682/R18.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR355/ERR3550682/R18.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR355/002/ERR3550682	ftp.sra.ebi.ac.uk/vol1/err/ERR355/002/ERR3550682		
PRJEB32566	SAMEA5770231	ERS3573775	ERX3557290	ERR3550685	9606	Homo sapiens	unspecified	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR355/005/ERR3550685/ERR3550685.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR355/005/ERR3550685/ERR3550685.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR355/ERR3550685/R115.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR355/ERR3550685/R115.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR355/ERR3550685/R115.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR355/ERR3550685/R115.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR355/005/ERR3550685	ftp.sra.ebi.ac.uk/vol1/err/ERR355/005/ERR3550685		
PRJEB32566	SAMEA5770256	ERS3573800	ERX3557291	ERR3550686	9606	Homo sapiens	unspecified	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR355/006/ERR3550686/ERR3550686.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR355/006/ERR3550686/ERR3550686.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR355/ERR3550686/R128.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR355/ERR3550686/R128.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR355/ERR3550686/R128.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR355/ERR3550686/R128.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR355/006/ERR3550686	ftp.sra.ebi.ac.uk/vol1/err/ERR355/006/ERR3550686		
